"Type Name","Type Id","Longitude","Request Id","Request Date","Latitude","_id","ID","Street Address"
"Illegal Dumping",251414,-74.194332,315567,2015-05-27,40.759472,1,225542,"108 N 13TH ST"
"(nrs) Grass/Leaf/Yard Waste Collections",1529,-74.1933536,315568,2015-05-27,40.7567648,2,225543,"49 N 11TH ST"
"(nrs) No Heat/Hot Water",1524,-74.2389924,315569,2015-05-27,40.7388262,3,225544,"420 KERRIGAN BLVD"
"(nrs) Code Enforcement Inspection Requests",1906,-74.2389924,315570,2015-05-27,40.7388262,4,225545,"420 KERRIGAN BLVD"
"(nrs) Snow and Ice Issues (City streets/avenues/roads)",6533,-74.2143447,315571,2015-05-27,40.7094216,5,225546," MAPLE AVE"
"(nrs) Snow and Ice Issues (City streets/avenues/roads)",6533,-74.2143447,315572,2015-05-27,40.7094216,6,225547," MAPLE AVE"
"(nrs) No Heat/Hot Water",1524,-74.1892993,315573,2015-05-27,40.7225221,7,225548,"8 MILFORD AVE"
"(nrs) Recycling Missed Pick-up",1532,-74.190516,315574,2015-05-27,40.7615679,8,225549,"187 N 11TH ST"
"(nrs) Recycling Missed Pick-up",1532,-74.2288669,315575,2015-05-27,40.742709,9,225550,"104 NORWOOD ST"
"(nrs) Illegal Dumping",1492,-74.2178393,315576,2015-05-27,40.7176011,10,225551," WAINWRIGHT ST"
"(nrs) Garbage/Debris On Property",1509,-74.1839107,315577,2015-05-27,40.7495608,11,225552,"19 HECKER ST"
"(nrs) Garbage/Debris On Property",1509,-74.1839608,315578,2015-05-27,40.7493393,12,225553,"23 HECKER ST"
"(nrs) Grass/Leaf/Yard Waste Collections",1529,-74.2295387,315579,2015-05-27,40.7359756,13,225554,"23 LENOX ST"
"(nrs) Grass/Leaf/Yard Waste Collections",1529,-74.1644645,315580,2015-05-27,40.7802665,14,225555,"859 CLIFTON AVE"
"(nrs) Grass/Leaf/Yard Waste Collections",1529,-74.2332185,315581,2015-05-27,40.7446371,15,225556,"33 HAZELWOOD AVE"
"(nrs) No Heat/Hot Water",1524,-74.2059818,315582,2015-05-27,40.7171342,16,225557,"293 HAWTHORNE AVE"
"(nrs) Code Enforcement Inspection Requests",1906,-74.1636895,315583,2015-05-27,40.7709214,17,225558,"161 LINCOLN AVE"
"(nrs) Grass/Leaf/Yard Waste Collections",1529,-74.2338486,315584,2015-05-27,40.7390279,18,225559,"53 LENOX ST"
"(nrs) Code Enforcement Inspection Requests",1906,-74.1785952,315585,2015-05-27,40.7691633,19,225560,"76 ABINGTON AVE"
"(nrs) No Heat/Hot Water",1524,-74.1725011,315586,2015-05-27,40.7627812,20,225561,"83 2ND AVE"
"(nrs) Sanitation Missed Pick-up ",1526,-74.173591,315587,2015-05-27,40.75546,21,225562,"130 SUMMER AVE"
"(nrs) Code Enforcement Inspection Requests",1906,-74.1748543,315588,2015-05-27,40.7543435,22,225563,"89 CUTLER ST"
"(cfwb) Animal Control Complaint - 07107",256297,-74.194965,315589,2015-05-27,40.7582499,23,225564,"78 N 13TH ST"
"(nrs) Litter Basket Overflowing - Needs Emptying",1518,-74.1863265,315590,2015-05-27,40.7316781,24,225565," COLGATE DR"
"(nrs) Litter Basket Overflowing - Needs Emptying",1518,-74.1895229,315591,2015-05-27,40.7641849,25,225566," BROOME ST"
"(cfwb) Animal Control Complaint - 07105",256295,-74.1419635,315592,2015-05-27,40.7352072,26,225567,"21 RIVERVIEW CT"
"(cfwb) Animal Control Complaint - 07107",256297,-74.178646,315593,2015-05-27,40.772206,27,225568,"695 N 5th St"
"(nrs) Recycling Missed Pick-up",1532,-74.1711663,315594,2015-05-27,40.7727387,28,225569,"275 DELAVAN AVE"
"(nrs) Recycling Missed Pick-up",1532,-74.1893268,315595,2015-05-27,40.7646311,29,225570,"274 N 11TH ST"
"(nrs) White Goods - Central Ward",62208,-74.181363,315596,2015-05-27,40.747355,30,225571,"39 NEWARK ST"
"(nrs) Grass/Leaf/Yard Waste Collections",1529,-74.1810006,315597,2015-05-27,40.7293077,31,225572," NAIRN PL"
"(nrs) Sanitation Personnel Complaint",14236,-74.1831738,315598,2015-05-27,40.771286,32,225573,"451 BLOOMFIELD AVE"
"(cfwb) Animal Control Complaint - 07108",256298,-74.2042944,315599,2015-05-27,40.7097547,33,225574,"53 SCHEERER AVE"
